source_id,target_id,weight
1912,2762,10
1912,2768,14
1912,2769,13
1915,57,12
1915,74,18
1915,185,11
1915,245,42
1915,370,24
1915,437,12
1915,475,12
1915,534,24
1915,535,22
1915,566,40
1915,609,10
1915,611,20
1915,1915,18
1915,3324,13
1915,3363,10
1915,5228,103
1915,5589,34
1915,6318,21
1915,6895,22
1915,7788,22
1915,7789,21
1916,57,55
1916,68,20
1916,137,16
1916,245,27
1916,1251,22
1916,1589,22
1916,1799,14
1916,1801,58
1916,1814,10
1916,1938,10
1916,2961,11
1925,1811,10
1929,7,12
1929,31,18
1929,122,20
1929,153,27
1929,235,12
1929,236,12
1929,297,13
1929,533,32
1929,570,10
1929,589,13
1929,644,16
1929,951,20
1929,1251,10
1929,1801,32
1929,1929,12
1929,1967,18
1929,3280,10
1929,4070,10
1935,278,10
1936,278,16
1936,644,16
1936,726,13
1938,7,46
1938,31,26
1938,34,33
1938,35,120
1938,36,106
1938,55,15
1938,58,145
1938,67,24
1938,68,59
1938,81,10
1938,87,18
1938,96,13
1938,99,16
1938,105,19
1938,122,23
1938,137,67
1938,155,16
1938,202,18
1938,229,23
1938,245,109
1938,251,21
1938,278,220
1938,282,12
1938,309,11
1938,375,19
1938,376,24
1938,416,16
1938,428,10
1938,437,23
1938,469,13
1938,509,46
1938,522,14
1938,533,68
1938,568,10
1938,611,18
1938,644,146
1938,743,11
1938,753,12
1938,765,26
1938,803,74
1938,957,131
1938,987,19
1938,1252,101
1938,1365,14
1938,1417,22
1938,1488,14
1938,1489,19
1938,1525,10
1938,1581,82
1938,1589,82
1938,1619,15
1938,1645,11
1938,1701,25
1938,1799,55
1938,1805,47
1938,1851,15
1938,1852,15
1938,1853,15
1938,1854,10
1938,1877,12
1938,1878,16
1938,1879,27
1938,1889,41
1938,1891,68
1938,1892,29
1938,1893,41
1938,1895,13
1938,1904,80
1938,1938,46
1938,1967,12
1938,1973,15
1938,2007,23
1938,2008,14
1938,2062,10
1938,2065,10
1938,2068,31
1938,2104,12
1938,2166,17
1938,2239,17
1938,2246,14
1938,2247,12
1938,2283,10
1938,2285,10
1938,2288,12
1938,2670,19
1938,2696,14
1938,2756,22
1938,2928,13
1938,2961,10
1938,4113,10
1938,4187,15
1938,4257,11
1938,4741,14
1938,4769,10
1938,6398,11
1938,6399,19
1938,6400,20
1938,6428,13
1938,8315,16
1939,68,27
1939,99,18
1939,245,15
1939,278,16
1939,644,13
1950,36,14
1950,68,56
1950,128,25
1950,136,27
1950,245,31
1950,404,13
1950,533,12
1950,712,11
1950,729,14
1950,787,10
1950,1093,20
1950,5973,22
1950,6435,12
1950,6783,10
1950,6784,11
1950,6786,23
1950,6921,14
1959,204,11
1959,235,24
1959,236,24
1959,1270,22
1959,3889,13
1959,5129,23
1960,58,12
1960,137,14
1960,278,21
1960,803,13
1960,957,25
1960,1093,14
1960,1252,16
1960,1619,10
1960,1801,31
1962,58,15
1962,137,15
1962,278,13
1962,1251,11
1962,1801,23
1964,57,13
1964,1801,13
1967,7,32
1967,58,17
1967,99,10
1967,122,21
1967,230,11
1967,295,10
1967,345,10
1967,957,25
1967,1251,20
1967,1732,56
1967,1762,12
1967,1801,24
1967,1896,18
1967,1967,156
1967,2246,17
1967,2758,14
1967,2759,14
1967,2760,14
1967,2761,15
1967,2762,32
1967,2763,16
1967,2764,28
1967,2765,16
1967,2766,16
1967,2767,16
1967,2768,137
1967,2769,137
1967,2770,98
1967,2771,90
1967,2772,17
1967,2773,17
1967,2774,17
1967,2775,26
1967,2776,53
1967,2777,15
1967,2778,15
1967,2779,15
1967,2780,15
1967,2781,15
1967,2782,15
1967,2783,55
1967,2784,48
1967,2785,31
1967,2786,31
1967,2787,32
1967,2788,26
1967,2789,17
1967,2790,16
1967,2791,25
1967,2792,16
1967,2793,33
1967,2794,33
1967,2795,16
1967,2796,16
1967,2797,25
1967,2798,13
1967,2799,12
1967,2800,12
1967,2801,12
1967,2807,22
1967,7665,12
1967,7681,10
1968,1801,11
1973,57,34
1973,68,13
1973,122,10
1973,957,16
1973,1251,19
1973,1811,15
1973,1814,10
1973,1833,12
1973,6481,10
1980,1251,13
1980,1581,11
1981,1251,10
1986,1904,12
1987,278,28
1987,803,12
1987,1581,14
1987,1995,10
1994,1093,18
1994,1995,10
1995,753,18
1995,1093,20
1995,1996,13
1996,68,16
1996,245,18
1996,1093,17
1996,1904,12
1996,1938,13
2004,753,10
2004,1093,12
2004,1589,12
2007,23,15
2007,31,11
2007,245,17
2007,278,37
2007,351,15
2007,352,15
2007,375,12
2007,376,14
2007,808,17
2007,957,50
2007,1417,17
2007,1799,23
2007,1893,39
2007,2068,13
2008,2,10
2008,3,11
2008,23,24
2008,31,11
2008,35,22
2008,36,19
2008,68,43
2008,87,14
2008,122,11
2008,235,65
2008,236,65
2008,245,57
2008,254,10
2008,278,25
2008,322,11
2008,351,25
2008,352,24
2008,375,10
2008,416,23
2008,475,21
2008,581,11
2008,605,12
2008,808,10
2008,811,15
2008,963,16
2008,1102,11
2008,1355,11
2008,1489,12
2008,1498,12
2008,1589,19
2008,1730,10
2008,1809,10
2008,1811,14
2008,1812,12
2008,1893,19
2008,2008,10
2008,2099,17
2008,2100,13
2008,4406,10
2008,4740,17
2008,4796,11
2008,4799,11
2008,4920,15
2008,5810,10
2008,5826,12
2026,1801,13
2027,7,24
2027,67,10
2027,137,25
2027,803,19
2027,961,10
2027,1093,25
2027,1581,23
2027,1799,25
2027,1801,87
2027,1811,12
2027,1833,17
2027,1904,18
2027,1938,12
2027,2288,13
2027,3280,21
2027,8835,11
2032,109,11
2032,475,20
2032,803,35
2032,1252,14
2032,4780,10
2032,6267,11
2032,7125,24
2032,8210,11
2032,8211,11
2032,8212,11
2037,533,14
2037,643,12
2037,644,16
2037,950,10
2037,5168,10
2038,7,11
2038,533,16
2038,803,12
2038,951,15
2038,957,11
2039,951,11
2039,1252,10
2040,951,10
2040,1252,10
2041,35,11
2041,951,11
2041,1252,12
2041,1938,10
2051,278,11
2061,57,10
2062,57,13
2062,58,10
2062,957,20
2062,1904,11
2065,57,23
2065,58,15
2065,245,17
2065,278,39
2065,533,12
2065,951,31
2065,957,21
2065,1799,18
2065,2068,13
2068,34,14
2068,35,65
2068,36,61
2068,58,68
2068,67,12
2068,87,20
2068,92,10
2068,122,25
2068,137,29
2068,253,13
2068,278,120
2068,353,34
2068,416,11
2068,533,87
2068,581,12
2068,803,43
2068,823,11
2068,951,138
2068,957,97
2068,961,11
2068,1252,43
2068,1355,10
2068,1589,68
2068,1805,12
2068,1916,12
2068,2008,12
2068,2027,27
2068,2068,12
2068,2099,11
2068,2100,10
2068,2239,14
2068,2288,10
2068,2583,11
2068,2844,14
2068,3280,20
2068,4113,34
2068,8835,11
2074,416,15
2074,533,29
2074,1510,10
2074,2288,10
2076,30,10
2076,81,11
2076,87,10
2076,99,21
2076,109,16
2076,122,17
2076,204,14
2076,253,38
2076,309,11
2076,322,12
2076,407,11
2076,416,40
2076,419,16
2076,423,11
2076,459,11
2076,522,11
2076,525,11
2076,535,12
2076,573,11
2076,583,18
2076,644,11
2076,951,22
2076,1188,16
2076,1355,17
2076,1672,10
2076,1684,11
2076,1799,12
2076,2076,20
2076,2288,19
2076,2844,12
2076,2959,20
2076,2961,15
2076,3238,13
2076,4741,15
2076,5951,17
2076,6177,15
2076,6178,13
2076,6181,10
2076,8301,10
2076,9290,10
2077,58,14
2077,109,12
2077,644,14
2077,951,27
2077,1093,10
2077,1251,11
2077,1252,11
2077,1589,13
2077,1799,21
2079,951,11
2089,58,10
2089,533,11
2090,351,10
2092,109,10
2093,122,13
2093,475,12
2093,533,23
2099,7,20
2099,34,23
2099,67,20
2099,109,55
2099,235,20
2099,236,21
2099,278,60
2099,331,27
2099,343,18
2099,508,11
2099,604,10
2099,917,10
2099,987,14
2099,1093,21
2099,1811,25
2099,1814,21
2099,1904,27
2099,1938,31
2099,2100,42
2099,2102,20
2099,5927,12
2099,6428,19
2099,6541,10
2100,7,15
2100,109,40
2100,235,20
2100,236,20
2100,278,50
2100,331,20
2100,343,18
2100,1093,20
2100,1811,16
2100,1904,19
2100,1938,21
2100,2102,18
2100,6398,14
2102,109,18
2102,235,10
2102,236,10
2102,278,20
2102,331,11
2102,957,14
2102,1093,10
2102,1904,11
2102,1938,12
2104,68,11
2104,99,10
2104,137,10
2104,235,15
2104,236,15
2104,278,29
2104,331,11
2104,803,13
2104,951,34
2104,1093,17
2104,1811,11
2104,1904,36
2104,2007,13
2104,8301,16
2108,278,10
2108,951,12
2108,1251,12
2112,7,10
2112,135,10
2112,3651,10
2113,85,12
2113,99,10
2113,154,17
2113,278,10
2113,397,15
2113,444,10
2113,524,13
2113,803,35
2113,1113,18
2113,1166,14
2113,1510,13
2113,3331,10
2113,3759,11
2113,6340,12
2113,7125,23
2125,7,71
2125,85,18
2125,122,142
2125,127,15
2125,136,15
2125,154,47
2125,238,10
2125,245,25
2125,295,69
2125,444,16
2125,448,14
2125,449,15
2125,471,21
2125,508,13
2125,533,108
2125,568,11
2125,570,73
2125,590,44
2125,644,111
2125,656,16
2125,789,105
2125,961,17
2125,1188,10
2125,1189,12
2125,1355,26
2125,1589,13
2125,1646,11
2125,2125,36
2125,2288,21
2125,3115,14
2125,3324,15
2125,3327,16
2125,3526,26
2125,3594,10
2125,3873,16
2125,4741,12
2125,4791,53
2125,4919,18
2125,5979,20
2125,6289,10
2125,6340,18
2125,6958,14
2125,7125,96
2125,8094,12
2125,8129,42
2125,8835,15
2125,10168,11
2126,644,23
2126,950,35
2126,953,11
2126,1146,11
2126,1278,33
2126,2126,10
2126,3025,13
2126,3406,26
2126,3408,33
2128,68,24
2128,99,18
2128,235,23
2128,236,23
2128,245,37
2128,253,16
2128,644,11
2128,9290,10
2129,7,16
2129,99,14
2133,23,11
2133,68,13
2133,74,11
2133,351,11
2133,352,11
2133,1093,16
2133,1417,18
2133,1489,11
2133,1701,13
2133,1938,10
2141,245,12
