     source_id target_id     weight
    23   1872 11.000000
    23   1877 16.000000
    23   1878 20.000000
    23   1879 39.000000
    23   1880 10.000000
    23   1881 10.000000
    23   1889 16.000000
    23   1891 57.000000
    23   1892 45.000000
    23   1893 45.000000
    23   1894 54.000000
    23   1895 12.000000
    23   1896 16.000000
    23   1904 105.000000
    23   1916 17.000000
    23   1936 14.000000
    23   1938 138.000000
    23   1950 10.000000
    23   1960 19.000000
    23   1967 15.000000
    23   1973 12.000000
    23   2027 36.000000
    23   2032 18.000000
    23   2039 12.000000
    23   2040 12.000000
    23   2041 12.000000
    23   2051 11.000000
    23   2062 11.000000
    23   2065 24.000000
    23   2068 92.000000
    23   2069 10.000000
    23   2070 10.000000
    23   2074 14.000000
    23   2075 11.000000
    23   2076 13.000000
    23   2089 12.000000
    23   2090 11.000000
    23   2099 43.000000
    23   2100 44.000000
    23   2102 39.000000
    23   2104 22.000000
    23   2129 10.000000
    23   2144 10.000000
    23   2166 10.000000
    23   2167 17.000000
    23   2171 10.000000
    23   2174 10.000000
    23   2239 14.000000
    23   2245 11.000000
    23   2246 25.000000
    23   2247 17.000000
    23   2311 11.000000
    23   2313 14.000000
    23   2316 24.000000
    23   2319 11.000000
    23   2371 10.000000
    23   2380 12.000000
    23   2384 12.000000
    23   2432 18.000000
    23   2583 12.000000
    23   2680 26.000000
    23   2681 11.000000
    23   2689 12.000000
    23   2696 15.000000
    23   2741 12.000000
    23   2753 15.000000
    23   2839 11.000000
    23   2844 25.000000
    23   2846 12.000000
    23   2847 24.000000
    23   2859 17.000000
    23   2945 11.000000
    23   2961 20.000000
    23   2981 11.000000
    23   2992 15.000000
    23   3047 12.000000
    23   3138 11.000000
    23   3500 11.000000
    23   3552 11.000000
    23   3690 12.000000
    23   3710 10.000000
    23   3711 18.000000
    23   3873 12.000000
    23   3965 11.000000
    23   4084 10.000000
    23   4113 25.000000
    23   4147 10.000000
    23   4184 10.000000
    23   4187 15.000000
    23   4194 24.000000
    23   4195 17.000000
    23   4220 12.000000
    23   4225 10.000000
    23   4233 17.000000
    23   4296 10.000000
    23   4297 10.000000
    23   4323 16.000000
    23   4330 16.000000
    23   4388 10.000000
    23   4413 10.000000
    23   4471 14.000000
    23   4617 13.000000
