     source_id target_id   weight
     4   2337 5.000000
     4   2339 7.000000
     4   2389 6.000000
     4   2398 5.000000
     4   2585 6.000000
     4   2606 5.000000
     4   2615 10.000000
     4   2643 5.000000
     4   2644 7.000000
     4   2645 17.000000
     4   2646 5.000000
     4   2648 7.000000
     4   2649 6.000000
     4   2655 7.000000
     4   2659 5.000000
     4   2663 5.000000
     4   3004 5.000000
     4   3091 10.000000
     4   3460 5.000000
     4   3481 5.000000
     4   3482 6.000000
     4   3674 5.000000
     4   3676 5.000000
     5      5 108.000000
     5      7 33.000000
     5     10 51.000000
     5     13 16.000000
     5     16 76.000000
     5     17 57.000000
     5     18 63.000000
     5     20 46.000000
     5     23 5.000000
     5     29 22.000000
     5     31 11.000000
     5     32 16.000000
     5     34 5.000000
     5     36 6.000000
     5     37 18.000000
     5     38 25.000000
     5     39 50.000000
     5     43 10.000000
     5     44 10.000000
     5     47 36.000000
     5     48 20.000000
     5     49 20.000000
     5     53 14.000000
     5     55 5.000000
     5     56 10.000000
     5     63 27.000000
     5     67 49.000000
     5     68 101.000000
     5     73 22.000000
     5     74 26.000000
     5     76 47.000000
     5     77 75.000000
     5     81 39.000000
     5     88 23.000000
     5     89 11.000000
     5     91 9.000000
     5     98 6.000000
     5    121 16.000000
     5    130 29.000000
     5    135 8.000000
     5    136 12.000000
     5    143 10.000000
     5    167 5.000000
     5    168 27.000000
     5    181 14.000000
     5    188 7.000000
     5    196 10.000000
     5    201 28.000000
     5    210 16.000000
     5    211 5.000000
     5    213 8.000000
     5    216 33.000000
     5    218 54.000000
     5    226 5.000000
     5    231 5.000000
     5    248 16.000000
     5    250 8.000000
     5    282 33.000000
     5    284 16.000000
     5    308 8.000000
     5    311 5.000000
     5    326 7.000000
     5    327 5.000000
     5    346 9.000000
     5    347 33.000000
     5    355 15.000000
     5    370 6.000000
     5    377 32.000000
     5    378 5.000000
     5    379 8.000000
     5    401 8.000000
     5    403 11.000000
     5    409 11.000000
     5    410 11.000000
     5    417 30.000000
     5    418 27.000000
     5    420 9.000000
     5    421 5.000000
     5    433 6.000000
     5    447 9.000000
     5    473 12.000000
     5    474 34.000000
     5    481 8.000000
     5    482 8.000000
     5    483 6.000000
     5    486 5.000000
     5    509 5.000000
     5    520 11.000000
     5    523 9.000000
     5    561 5.000000
     5    572 12.000000
     5    576 5.000000
     5    578 8.000000
     5    580 6.000000
     5    594 24.000000
     5    643 8.000000
     5    647 5.000000
     5    653 6.000000
     5    668 7.000000
     5    691 13.000000
     5    694 10.000000
     5    722 17.000000
     5    724 5.000000
     5    729 10.000000
     5    731 6.000000
     5    735 5.000000
     5    764 5.000000
     5    767 6.000000
     5    768 6.000000
     5    770 19.000000
     5    773 8.000000
     5    778 9.000000
     5    779 9.000000
     5    781 10.000000
     5    782 5.000000
     5    783 8.000000
     5    784 15.000000
     5    785 5.000000
     5    786 30.000000
     5    787 10.000000
     5    788 6.000000
     5    789 8.000000
     5    790 6.000000
     5    791 12.000000
     5    792 9.000000
     5    793 6.000000
     5    794 9.000000
     5    795 20.000000
     5    796 17.000000
     5    797 11.000000
     5    798 7.000000
     5    799 9.000000
     5    800 7.000000
     5    801 6.000000
     5    802 6.000000
     5    803 9.000000
     5    804 95.000000
     5    805 6.000000
     5    806 6.000000
     5    807 8.000000
     5    808 5.000000
     5    809 10.000000
     5    810 9.000000
     5    811 9.000000
     5    812 16.000000
     5    814 7.000000
     5    816 5.000000
     5    817 18.000000
     5    819 7.000000
     5    820 6.000000
     5    821 5.000000
     5    824 5.000000
     5    876 15.000000
     5    877 17.000000
     5    880 7.000000
     5    881 5.000000
     5    882 5.000000
     5    883 24.000000
     5    887 9.000000
     5    908 38.000000
     5    909 36.000000
     5    927 14.000000
     5    930 7.000000
     5    936 7.000000
     5    944 10.000000
     5    957 7.000000
     5    983 8.000000
     5    985 14.000000
     5    987 18.000000
     5    988 5.000000
     5    990 28.000000
     5    993 12.000000
