     source_id target_id    weight
    77   1967 43.000000
    77   1969 12.000000
    77   1970 15.000000
    77   1976 16.000000
    77   1977 14.000000
    77   1993 21.000000
    77   2156 19.000000
    77   2209 22.000000
    77   2210 15.000000
    77   2216 13.000000
    77   2217 14.000000
    77   2224 21.000000
    77   2251 17.000000
    77   2279 10.000000
    77   2339 13.000000
    77   2389 12.000000
    77   2769 11.000000
    77   3004 28.000000
    77   3091 16.000000
    77   3276 10.000000
    81      4 27.000000
    81      7 21.000000
    81     16 26.000000
    81     17 15.000000
    81     81 12.000000
    81     83 11.000000
    81    107 15.000000
    81    112 16.000000
    81    610 13.000000
    81    909 22.000000
    81   1327 15.000000
    81   1471 10.000000
    81   1478 13.000000
    81   1508 10.000000
    81   1538 16.000000
    81   1941 15.000000
    81   1945 11.000000
    81   1976 13.000000
    81   1979 13.000000
    81   1993 13.000000
    81   3031 10.000000
    82      5 12.000000
    83      5 26.000000
    83     16 27.000000
    83    112 12.000000
    83    253 13.000000
    88     88 11.000000
    88    107 12.000000
    88    112 21.000000
    88    635 23.000000
    88    908 12.000000
    88    909 12.000000
    88   1273 13.000000
    88   3460 17.000000
    90      4 13.000000
    90    965 11.000000
    90   1238 12.000000
    95      5 12.000000
    95     10 10.000000
    95    112 18.000000
    95    355 11.000000
    95    626 10.000000
    95   1538 10.000000
   101      4 11.000000
   101      5 10.000000
   101     10 11.000000
   101    112 13.000000
   107      5 46.000000
   107      7 55.000000
   107     10 56.000000
   107     17 26.000000
   107     32 12.000000
   107    107 37.000000
   107    112 32.000000
   107    121 12.000000
   107    128 23.000000
   107    129 10.000000
   107    136 18.000000
   107    141 28.000000
   107    167 10.000000
   107    282 20.000000
   107    336 11.000000
   107    364 14.000000
   107    532 10.000000
   107    542 12.000000
   107    564 11.000000
   107    610 36.000000
   107    722 12.000000
   107    770 11.000000
   107    908 27.000000
   107    909 30.000000
   107    976 48.000000
   107   1257 49.000000
   107   1263 34.000000
   107   1269 13.000000
   107   1270 10.000000
   107   1273 58.000000
